Number,Spell,Type,Function,Book,Loc,Snippet
399,Anapneo,Spell,Clears the target's airway.,6: HBP,889088,"through the air; six or seven of them crumpled, but more were coming toward him, impedimenta! incarcerous! a few of them stumbled, one or two of them bound in ropes, but those climbing"
400,Aparecium,Spell,Reveals invisible ink,2: CoS,159862,"to be working, and wasting no more time, Harry pointed his wand straight at malfoy and shouted, rictusempra! a jet of silver light hit malfoy in the stomach and he doubled up, wheezing, i"
401,Avis,Spell,Launches birds from your wand,4: GoF,413606,"to disapparate — Harry tore past hagrid and his opponent, took aim at snape’s back, and yelled, stupefy! he missed; the jet of red light soared past snape’s head; snape shouted, run,"
402,Conjunctivitis,Curse,Damages opponents eyesight,4: GoF,443399,"to Harry, pointing his wand at the thick cuffs chaining the beast to the floor, he yelled, relashio! the cuffs broke open with loud bangs, this way! Harry yelled, and still shooting stunning"
403,Defodio,Spell,Dig out materials,7: DH,1212094,"to her, and as the team watched in amazement, hermione tapped them with her wand and said, impervius! there! she said, handing them back to Harry, they’ll repel water! wood looked as"
404,Deletrius,Spell,"Counters ""Prior Incatato""",4: GoF,361597,"to make the same slashing movement he had used on Harry and hermione, springing up, Harry yelled, petrificustotalus! once again, dolohov’s arms and legs snapped to­gether and he keeled over backward, landing with a"
405,Densaugeo,Spell,Enlarges Teeth,4: GoF,410184,"to remember — sirius was inno­cent — innocent — we’ll be okay — i’m going to live with him — expectopatronum! he gasped, by the feeble light of his formless patronus, he saw a dementor halt,"
406,Deprimo,Spell,Wind Damaging Spell,7: DH,1175041,"to the floor, yes, whispered the voice, yesss … hold you … hold you … accio … accio wand … but nothing happened and he needed his hands to try to force the snake from him as"
407,Duro,Spell,Makes Objects Hard,7: DH,1243121,"to you, potter, he said quietly, you have irked me too often, for too long, avadakedavra! Harry had not even opened his mouth to resist, his mind was blank, his wand pointing"
408,Eat Slugs,Charm,Target Vomits Slugs,2: CoS,120026,"told me that there are plans to lay a false trail; this must be it, no doubt a confundus charm has been placed upon dawlish, it would not be the first time; he is known to"
409,Erecto,Spell,Erects things,7: DH,1128403,"toward the ground, hagrid! Harry called, holding on to the bike for dear life, hagrid — accio hagrid! the motorbike sped up, sucked toward the earth, face level with the handlebars, Harry"
410,Expulso,Spell,Makes Objects Explode,7: DH,1095692,"trickle of blood running down his face, no! mrs. weasley moaned, no … riddikulus! riddikulus! riddikulus! crack, dead twins, crack, dead percy, crack, dead Harry … mrs. weasley,"
411,Ferula,Spell,Creates bandages,3: PoA,302843,"up and pointed his wand at krum just as krum looked up, krum turned and began to run, stupefy! Harry yelled, the spell hit krum in the back; he stopped dead in his tracks,"
412,Flagrate,Spell,Allows user to write on objects,5: OotP,811234,"useful — oh please, said zacharias smith, rolling his eyes and folding his arms, i don’t think expelliarmus is exactly going to help us against you-know-who, do you? i’ve used it against him, said"
413,Geminio,Spell,Duplicates an Object,7: DH,1125419,"very close call last night, said hermione, i just wonder if umbridge knows how close it was, silencio! the bullfrog on which she was practicing her silencing charm was struck dumb mid-croak and glared at her"
414,Glisseo,Spell,Turns stairs into ramps,7: DH,1243059,"wait! said hermione sharply, as luna made to close the door of the brain room behind them, flagrate! she drew with her wand in midair and a fiery x appeared on the door, no sooner"
415,Homorphus,Charm,"Lockhart's Werewolf ""cure""",2: CoS,138649,"wand on Harry so fast that Harry reacted instinc­tively; all thought of nonverbal spells forgotten, he yelled, protego! his shield charm was so strong snape was knocked off-balance and hit a desk, the whole class"
416,Langlock,Spell,Glues opponent's tongue to roof of mouth,6: HBP,973632,"wand upon the headmaster’s desk, touched it with the very tip of the elder wand, and said, reparo, as his wand resealed, red sparks flew out of its end, Harry knew that he had"
417,Locomotor Mortis,Curse,Locks opponents legs,1: SS,65427,"was easy, said hermione in a small voice, i just did a summoning charm, you know — accio, and — they zoomed out of dumbledore’s study window right into the girls’ dormitory, but when did"
418,Mobiliarbus,Charm,Moves objects with wand,3: PoA,250945,"was only by using her summoning charm that mrs. weasley managed to find them all, accio! accio! accio! she shouted, and toffees zoomed from all sorts of unlikely places, including the lining of george’s"
419,Mobilicorpus,Spell,Moves unconscious bodies,3: PoA,302965,"was summat like that, mumbled hagrid, and he raised a smoldering pink, flowery umbrella and said, aguamenti! a jet of water flew out of the umbrella tip, Harry raised his wand arm, which"
420,Morsmordre,Spell,Conjures the Dark Mark,4: GoF,359237,"was throwing hex after hex at her while she dodged them : amycus was giggling, enjoying the sport : crucio — crucio — you can’t dance forever, pretty — impedimenta! yelled Harry, his jinx hit amycus"
421,Obscuro,Spell,Blindfolds the victim,7: DH,1137263,"was, then they saw a silvery-white orb hanging in the air in front of lupin, who said, riddikulus! al­most lazily, crack! forward, neville, and finish him off! said lupin as the"
422,Oppugno,Spell,Makes conjured items attack,6: HBP,937431,"waved his wand without really concentrating; his bullfrog swelled like a green balloon and emitted a high-pitched whistle, silencio! said hermione hastily, pointing her wand at Harry’s frog, which deflated silently before them, well"
423,Orchideous,Spell,Conjures a bunch of flowers,4: GoF,413236,"we all standing in the dark? said a third voice, this one completely unfamiliar, a woman’s, lumos, a wand tip flared, illuminating the hall with magical light, Harry blinked, the people below"
424,Peskipiksi Pesternomi,Spell,Removes Pixies (maybe),2: CoS,121548,"were many crossings-out and alterations, but finally, crammed into a corner of the page, the scribble : levicorpus ( nvbl ) while the wind and sleet pounded relentlessly on the windows, and neville snored loudly,"
425,Piertotum Locomotor,Spell,Animates statues and armor suits,7: DH,1230335,"were right, weren’t they? he really knows his stuff, moody, doesn’t he? when he did avadakedavra, the way that spider just died, just snuffed it right — but ron fell suddenly silent at"
426,Prior Incantato,Spell,Reveals a wands last spell / cast,4: GoF,361537,"where a wide shiny stripe had been made by some­thing being dragged upstairs, they reached the dark landing, nox, they whispered together, and the lights at the end of their wands went out, only one"
427,Protego Horribilis,Spell,Protects one from Dark Magic,7: DH,1229895,"which wandmaker did you use? Harry acted without thinking : pointing his wand at travers, he muttered, imperio! once more, oh yes, i see, said travers, looking down at bellatrix’s wand,"
428,Quietus,Spell,Counter spell for Sonorus,4: GoF,355643,"who had sprinted after ron, lucius, narcissa, draco, and greyback wheeled about; Harry yelled, stupefy! and lucius malfoy collapsed onto the hearth, jets of light flew from draco’s, narcissa’s, and"
429,Repello Muggletum,Spell,Keeps Muggles away,7: DH,1128257,"wide and horrified, moody raised his wand, the spider’s legs relaxed, but it contin­ued to twitch, reducio, moody muttered, and the spider shrank back to its proper size, he put it back into"
430,Rictusempra,Charm,Tickles opponent,2: CoS,147634,"won­derful, soaring sensation of his stomach, the incantation is this — lupin cleared his throat, expectopatronum! expectopatronum, Harry repeated under his breath, expectopatronum, concentrating hard on your happy memory? oh — yeah"
431,Serpensortia,Spell,Produces Snake,2: CoS,148244,"wrong with an atmospheric charm, which will be more difficult to fix, so as an interim measure try impervius to protect his belongings — say it again, slowly — said ron, searching his pockets desperately for"
432,Waddiwasi,Spell,Unsticks an object,3: PoA,230484,"you find amusing, we will practice the charm without wands first, after me, please … riddikulus! riddikulus! said the class together, good, said professor lupin, very good, but that was the"
